Airline Name,Travel Time,Number of Stops,Ticket Price ($),Departure Airport,Departure Time,1st Stop: Departure Time,1st Stop,2nd Stop: Departure Time,2nd Stop,Destination Airport,Arrival Time,Arrival Date
Emirates,2 days 03:15:00,2 Stops,1156.0,DAC,01:40:00,0 days 11:15:00,DXB,0 days 19:40:00,MXP,JFK,18:55:00,1-04-08
Emirates,2 days 09:25:00,2 Stops,1156.0,DAC,19:30:00,0 days 17:15:00,DXB,0 days 19:40:00,MXP,JFK,18:55:00,1-04-09
Turkish,1 days 02:05:00,1 Stop,1175.0,DAC,06:35:00,0 days 06:20:00,IST,,,EWR,22:40:00,
Kuwait,0 days 21:15:00,1 Stop,1264.0,DAC,03:10:00,0 days 02:10:00,KWI,,,JFK,14:25:00,
Etihad,0 days 22:35:00,1 Stop,1283.0,DAC,20:55:00,0 days 03:00:00,AUH,,,JFK,09:30:00,1-04-08
Turkish,0 days 21:15:00,1 Stop,1297.0,DAC,06:35:00,0 days 01:50:00,IST,,,JFK,17:50:00,
Emirates,1 days 03:15:00,1 Stop,1313.0,DAC,01:40:00,0 days 05:15:00,DXB,,,JFK,18:55:00,1-04-08
Emirates,1 days 11:50:00,1 Stop,1313.0,DAC,19:30:00,0 days 12:20:00,DXB,,,EWR,21:20:00,
Multiple,1 days 03:15:00,1 Stop,1376.0,DAC,05:30:00,0 days 07:30:00,DOH,,,JFK,22:45:00,
Qatar,1 days 03:00:00,1 Stop,1431.0,DAC,05:30:00,0 days 07:05:00,DOH,,,JFK,22:30:00,1-04-08
Qatar,1 days 19:50:00,1 Stop,1435.0,DAC,05:30:00,0 days 23:55:00,DOH,,,JFK,15:20:00,1-04-08
Turkish,1 days 14:45:00,1 Stop,1441.0,DAC,06:35:00,0 days 19:20:00,IST,,,JFK,11:20:00,
Emirates,0 days 22:45:00,1 Stop,1448.0,DAC,01:40:00,0 days 04:00:00,DXB,,,JFK,14:25:00,1-04-08
British,1 days 03:35:00,2 Stops,1456.0,DAC,20:15:00,0 days 02:10:00,DOH,0 days 04:35:00,LHR,EWR,13:50:00,1-04-08
British,1 days 03:35:00,2 Stops,1456.0,DAC,20:15:00,0 days 02:45:00,DOH,0 days 04:00:00,LHR,EWR,13:50:00,1-04-08
British,1 days 10:15:00,2 Stops,1456.0,DAC,10:50:00,0 days 11:35:00,DOH,0 days 02:00:00,LHR,JFK,11:05:00,1-04-08
British,1 days 10:15:00,2 Stops,1456.0,DAC,10:50:00,0 days 01:35:00,DOH,0 days 12:00:00,LHR,JFK,11:05:00,1-04-08
British,1 days 11:45:00,2 Stops,1456.0,DAC,10:50:00,0 days 11:35:00,DOH,0 days 03:25:00,LHR,JFK,12:35:00,1-04-08
British,1 days 11:45:00,2 Stops,1456.0,DAC,10:50:00,0 days 01:35:00,DOH,0 days 13:25:00,LHR,JFK,12:35:00,1-04-08
British,1 days 12:40:00,2 Stops,1456.0,DAC,10:50:00,0 days 11:35:00,DOH,0 days 04:05:00,LHR,JFK,13:30:00,1-04-08
British,1 days 13:00:00,2 Stops,1456.0,DAC,10:50:00,0 days 11:35:00,DOH,0 days 04:35:00,LHR,EWR,13:50:00,1-04-08
Emirates,1 days 04:55:00,1 Stop,1458.0,DAC,19:30:00,0 days 10:00:00,DXB,,,JFK,14:25:00,
Emirates,1 days 05:40:00,1 Stop,1458.0,DAC,01:40:00,0 days 06:20:00,DXB,,,EWR,21:20:00,1-04-08
Emirates,1 days 09:25:00,1 Stop,1458.0,DAC,19:30:00,0 days 11:15:00,DXB,,,JFK,18:55:00,1-04-08
British,1 days 11:45:00,2 Stops,1460.0,DAC,10:50:00,0 days 12:10:00,DOH,0 days 02:50:00,LHR,JFK,12:35:00,1-04-08
